縣市,年度,可支配所得,臺灣地區可支配所得,對數成長率,全國對數成長率,相對成長率,相對成長率百分點,縣市首長黨籍,縣市首長黨籍代碼
新竹縣,2013,1073893,942208,-0.018415962121411056,0.01996430318257225,-0.03838026530398331,-3.8380265303983307,中國國民黨,KMT
新竹縣,2014,1108941,956849,0.03211514230794954,0.015419537263454686,0.016695605044494854,1.6695605044494854,中國國民黨,KMT
新竹縣,2015,1026352,964895,-0.07739473803880159,0.008373692869138694,-0.08576843090794029,-8.576843090794029,中國國民黨,KMT
新竹縣,2016,1105002,993115,0.07383637709068402,0.02882718088557823,0.045009196205105795,4.5009196205105795,中國國民黨,KMT
新竹縣,2017,1271770,1018941,0.14056248603556298,0.0256726636302389,0.11488982240532408,11.488982240532408,中國國民黨,KMT
新竹縣,2018,1183400,1036304,-0.07201797969793589,0.0168966844242604,-0.08891466412219629,-8.891466412219629,中國國民黨,KMT
新竹縣,2019,1224585,1059731,0.03421035982864318,0.022354565246384794,0.011855794582258383,1.1855794582258383,中國國民黨,KMT
新竹縣,2020,1294404,1079648,0.055448346463073506,0.01861995975169961,0.036828386711373895,3.6828386711373895,中國國民黨,KMT
新竹縣,2021,1350178,1090554,0.042186078058325194,0.010050761918202866,0.03213531614012233,3.2135316140122328,中國國民黨,KMT
新竹縣,2022,1380296,1108569,0.02206153331195715,0.01638417041275808,0.005677362899199068,0.5677362899199068,中國國民黨,KMT
新竹縣,2023,1429260,1136708,0.03485885889159057,0.025066371186772685,0.009792487704817887,0.9792487704817887,中國國民黨,KMT
新竹縣,2024,1481536,1165206,0.035922559618457583,0.024761529817933337,0.011161029800524247,1.1161029800524247,中國國民黨,KMT
桃園市,1999,944302,889053,-0.006263292187352221,0.01802085734396286,-0.02428414953131508,-2.428414953131508,民主進步黨,DPP
桃園市,2000,985426,891445,0.04262800474828943,0.002686890340863002,0.039941114407426426,3.9941114407426426,民主進步黨,DPP
桃園市,2001,923301,868651,-0.06511874313646615,-0.025902308074623903,-0.03921643506184225,-3.9216435061842247,民主進步黨,DPP
桃園市,2002,979979,875919,0.05957585101400653,0.008332187356849374,0.05124366365715716,5.124366365715716,中國國民黨,KMT
桃園市,2003,959744,881662,-0.020864560630256435,0.00653514169686531,-0.027399702327121744,-2.7399702327121744,中國國民黨,KMT
桃園市,2004,995951,891249,0.03703147735390999,0.010815087103630106,0.026216390250279886,2.6216390250279886,中國國民黨,KMT
桃園市,2005,985537,894574,-0.010511389305536412,0.003723777599661915,-0.014235166905198327,-1.4235166905198327,中國國民黨,KMT
桃園市,2006,981273,913092,-0.0043359619693479345,0.020489014913620096,-0.02482497688296803,-2.482497688296803,中國國民黨,KMT
桃園市,2007,1003789,923874,0.022686410490187825,0.011739056485431831,0.010947354004755994,1.0947354004755994,中國國民黨,KMT
桃園市,2008,960037,913687,-0.04456529341671356,-0.011087636668321466,-0.03347765674839209,-3.3477656748392093,中國國民黨,KMT
桃園市,2009,940942,887605,-0.020090324256923253,-0.028961237827966002,0.008870913571042749,0.8870913571042749,中國國民黨,KMT
桃園市,2010,915499,889353,-0.027412229314235148,0.001967407855257619,-0.029379637169492767,-2.9379637169492767,中國國民黨,KMT
桃園市,2011,961998,907988,0.04954309984678673,0.02073693058900794,0.02880616925777879,2.880616925777879,中國國民黨,KMT
桃園市,2012,1007045,923584,0.045763207248326054,0.01703059115868122,0.028732616089644836,2.8732616089644836,中國國民黨,KMT
桃園市,2013,1027658,942208,0.02026212692854301,0.01996430318257225,0.00029782374597076,0.029782374597076,中國國民黨,KMT
桃園市,2014,1088867,956849,0.05785527924124345,0.015419537263454686,0.042435741977788766,4.243574197778877,中國國民黨,KMT
桃園市,2015,1073806,964895,-0.013928359474013163,0.008373692869138694,-0.022302052343151857,-2.2302052343151857,民主進步黨,DPP
桃園市,2016,1087073,993115,0.012279416574401125,0.02882718088557823,-0.016547764311177104,-1.6547764311177104,民主進步黨,DPP
桃園市,2017,1105711,1018941,0.016999803767850707,0.0256726636302389,-0.008672859862388194,-0.8672859862388194,民主進步黨,DPP
桃園市,2018,1129990,1036304,0.02172021616189035,0.0168966844242604,0.004823531737629949,0.4823531737629949,民主進步黨,DPP
桃園市,2019,1147356,1059731,0.015251381754360693,0.022354565246384794,-0.007103183492024101,-0.7103183492024101,民主進步黨,DPP
桃園市,2020,1182717,1079648,0.03035416917995093,0.01861995975169961,0.011734209428251319,1.1734209428251319,民主進步黨,DPP
桃園市,2021,1190800,1090554,0.006811016097602263,0.010050761918202866,-0.0032397458206006036,-0.32397458206006036,民主進步黨,DPP
桃園市,2022,1195169,1108569,0.0036622478188998997,0.01638417041275808,-0.012721922593858181,-1.2721922593858181,民主進步黨,DPP
桃園市,2023,1223521,1136708,0.02344516964904031,0.025066371186772685,-0.0016212015377323752,-0.16212015377323752,中國國民黨,KMT
桃園市,2024,1240719,1165206,0.013958282657689836,0.024761529817933337,-0.010803247160243501,-1.08032471602435,中國國民黨,KMT
澎湖縣,1999,588607,889053,0.15394513085364103,0.01802085734396286,0.13592427350967817,13.592427350967817,中國國民黨,KMT
澎湖縣,2000,697315,891445,0.16947851718489737,0.002686890340863002,0.16679162684403437,16.679162684403437,中國國民黨,KMT
澎湖縣,2001,595548,868651,-0.1577552554591346,-0.025902308074623903,-0.1318529473845107,-13.18529473845107,中國國民黨,KMT
澎湖縣,2002,605641,875919,0.01680541120371437,0.008332187356849374,0.008473223846864997,0.8473223846864997,中國國民黨,KMT
澎湖縣,2003,588048,881662,-0.029478824064780085,0.00653514169686531,-0.036013965761645395,-3.6013965761645395,中國國民黨,KMT
澎湖縣,2004,720582,891249,0.20325064159807127,0.010815087103630106,0.19243555449444116,19.243555449444116,中國國民黨,KMT
澎湖縣,2005,628399,894574,-0.13688390378088933,0.003723777599661915,-0.14060768138055124,-14.060768138055124,中國國民黨,KMT
