county,year,local_party,central_party,aligned,party_alternation,consecutive_years,dpp_dummy,kmt_dummy
屏東縣,2010,DPP,KMT,0,0,18,1,0
屏東縣,2011,DPP,KMT,0,0,19,1,0
屏東縣,2012,DPP,KMT,0,0,20,1,0
屏東縣,2013,DPP,KMT,0,0,21,1,0
屏東縣,2014,DPP,KMT,0,0,22,1,0
屏東縣,2015,DPP,KMT,0,0,23,1,0
屏東縣,2016,DPP,DPP,1,0,24,1,0
屏東縣,2017,DPP,DPP,1,0,25,1,0
屏東縣,2018,DPP,DPP,1,0,26,1,0
屏東縣,2019,DPP,DPP,1,0,27,1,0
屏東縣,2020,DPP,DPP,1,0,28,1,0
屏東縣,2021,DPP,DPP,1,0,29,1,0
屏東縣,2022,DPP,DPP,1,0,30,1,0
屏東縣,2023,DPP,DPP,1,0,31,1,0
屏東縣,2024,DPP,DPP,1,0,32,1,0
彰化縣,1990,DPP,KMT,0,0,1,1,0
彰化縣,1991,DPP,KMT,0,0,2,1,0
彰化縣,1992,DPP,KMT,0,0,3,1,0
彰化縣,1993,KMT,KMT,1,1,1,0,1
彰化縣,1994,KMT,KMT,1,1,2,0,1
彰化縣,1995,KMT,KMT,1,1,3,0,1
彰化縣,1996,KMT,KMT,1,1,4,0,1
彰化縣,1997,KMT,KMT,1,0,5,0,1
彰化縣,1998,KMT,KMT,1,0,6,0,1
彰化縣,1999,KMT,KMT,1,0,7,0,1
彰化縣,2000,KMT,DPP,0,0,8,0,1
彰化縣,2001,DPP,DPP,1,1,1,1,0
彰化縣,2002,DPP,DPP,1,1,2,1,0
彰化縣,2003,DPP,DPP,1,1,3,1,0
彰化縣,2004,DPP,DPP,1,1,4,1,0
彰化縣,2005,KMT,DPP,0,1,1,0,1
彰化縣,2006,KMT,DPP,0,1,2,0,1
彰化縣,2007,KMT,DPP,0,1,3,0,1
彰化縣,2008,KMT,KMT,1,1,4,0,1
彰化縣,2009,KMT,KMT,1,0,5,0,1
彰化縣,2010,KMT,KMT,1,0,6,0,1
彰化縣,2011,KMT,KMT,1,0,7,0,1
彰化縣,2012,KMT,KMT,1,0,8,0,1
彰化縣,2013,KMT,KMT,1,0,9,0,1
彰化縣,2014,DPP,KMT,0,1,1,1,0
彰化縣,2015,DPP,KMT,0,1,2,1,0
彰化縣,2016,DPP,DPP,1,1,3,1,0
彰化縣,2017,DPP,DPP,1,1,4,1,0
彰化縣,2018,KMT,DPP,0,1,1,0,1
彰化縣,2019,KMT,DPP,0,1,2,0,1
彰化縣,2020,KMT,DPP,0,1,3,0,1
彰化縣,2021,KMT,DPP,0,1,4,0,1
彰化縣,2022,KMT,DPP,0,0,5,0,1
彰化縣,2023,KMT,DPP,0,0,6,0,1
彰化縣,2024,KMT,DPP,0,0,7,0,1
新北市,1990,DPP,KMT,0,0,1,1,0
新北市,1991,DPP,KMT,0,0,2,1,0
新北市,1992,DPP,KMT,0,0,3,1,0
新北市,1993,DPP,KMT,0,0,4,1,0
新北市,1994,DPP,KMT,0,0,5,1,0
新北市,1995,DPP,KMT,0,0,6,1,0
新北市,1996,DPP,KMT,0,0,7,1,0
