year,county,income_rank,unemp_rank,dominant_party
2019,嘉義縣,14,12,DPP
2019,基隆市,8,16,KMT
2019,宜蘭縣,12,13,DPP
2019,屏東縣,15,17,DPP
2019,彰化縣,17,8,KMT
2019,新北市,4,10,KMT
2019,新竹市,2,5,KMT
2019,新竹縣,3,1,KMT
2019,桃園市,5,3,KMT
2019,澎湖縣,16,14,KMT
2019,臺中市,6,4,KMT
2019,臺北市,1,9,KMT
2019,臺南市,9,6,DPP
2019,臺東縣,19,20,KMT
2019,花蓮縣,11,18,KMT
2019,苗栗縣,13,2,KMT
2019,雲林縣,18,11,DPP
2019,高雄市,7,15,DPP
2020,南投縣,20,19,KMT
2020,嘉義市,10,6,KMT
2020,嘉義縣,15,10,DPP
2020,基隆市,8,15,KMT
2020,宜蘭縣,12,14,DPP
2020,屏東縣,14,17,DPP
2020,彰化縣,17,8,KMT
2020,新北市,4,13,KMT
2020,新竹市,2,7,KMT
2020,新竹縣,3,1,KMT
2020,桃園市,5,3,KMT
2020,澎湖縣,16,12,KMT
2020,臺中市,6,5,KMT
2020,臺北市,1,11,KMT
2020,臺南市,9,4,DPP
2020,臺東縣,19,20,KMT
2020,花蓮縣,11,18,KMT
2020,苗栗縣,13,2,KMT
2020,雲林縣,18,9,DPP
2020,高雄市,7,16,DPP
2021,南投縣,20,19,KMT
2021,嘉義市,10,4,KMT
2021,嘉義縣,15,10,DPP
2021,基隆市,8,15,KMT
2021,宜蘭縣,12,12,DPP
2021,屏東縣,14,16,DPP
2021,彰化縣,17,5,KMT
2021,新北市,4,13,KMT
2021,新竹市,2,8,KMT
2021,新竹縣,3,1,KMT
2021,桃園市,5,6,KMT
2021,澎湖縣,16,11,KMT
2021,臺中市,6,7,KMT
2021,臺北市,1,14,KMT
2021,臺南市,9,3,DPP
2021,臺東縣,19,20,KMT
2021,花蓮縣,11,18,KMT
2021,苗栗縣,13,2,KMT
2021,雲林縣,18,9,DPP
2021,高雄市,7,17,DPP
2022,南投縣,20,19,KMT
2022,嘉義市,10,4,KMT
2022,嘉義縣,15,10,DPP
2022,基隆市,9,15,KMT
2022,宜蘭縣,12,12,DPP
2022,屏東縣,14,16,DPP
2022,彰化縣,16,5,KMT
2022,新北市,4,13,KMT
2022,新竹市,2,8,KMT
2022,新竹縣,3,1,KMT
2022,桃園市,5,6,KMT
2022,澎湖縣,17,11,KMT
2022,臺中市,6,7,KMT
2022,臺北市,1,14,KMT
2022,臺南市,8,3,DPP
2022,臺東縣,19,20,KMT
2022,花蓮縣,11,18,KMT
2022,苗栗縣,13,2,KMT
2022,雲林縣,18,9,DPP
2022,高雄市,7,17,DPP
2023,南投縣,20,19,KMT
2023,嘉義市,10,4,KMT
2023,嘉義縣,15,10,DPP
2023,基隆市,9,14,KMT
2023,宜蘭縣,12,12,DPP
2023,屏東縣,14,15,DPP
2023,彰化縣,16,5,KMT
2023,新北市,4,13,KMT
2023,新竹市,2,8,KMT
2023,新竹縣,3,1,KMT
2023,桃園市,5,6,KMT
2023,澎湖縣,17,11,KMT
2023,臺中市,6,7,KMT
2023,臺北市,1,16,KMT
2023,臺南市,8,3,DPP
2023,臺東縣,19,20,KMT
2023,花蓮縣,11,18,KMT
2023,苗栗縣,13,2,KMT
2023,雲林縣,18,9,DPP
2023,高雄市,7,17,DPP
2024,南投縣,20,19,KMT
2024,嘉義市,10,4,KMT
2024,嘉義縣,16,10,DPP
2024,基隆市,9,14,KMT
2024,宜蘭縣,12,12,DPP
2024,屏東縣,14,15,DPP
2024,彰化縣,15,5,KMT
2024,新北市,4,13,KMT
2024,新竹市,2,8,KMT
2024,新竹縣,3,1,KMT
2024,桃園市,5,6,KMT
2024,澎湖縣,17,11,KMT
2024,臺中市,6,7,KMT
2024,臺北市,1,16,KMT
2024,臺南市,8,3,DPP
2024,臺東縣,19,20,KMT
2024,花蓮縣,11,18,KMT
2024,苗栗縣,13,2,KMT
2024,雲林縣,18,9,DPP
2024,高雄市,7,17,DPP
