year,weighted_eligible_voters,total_event_weight,included_events,nonvoters_share,invalid_share,other_share,tsp_share,tsu_share,npp_share,np_share,pfp_share,tpp_share,kmt_share,dpp_share
2006,20678320.29679586,1.286068014953146,county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005,0.3052068750639885,0.010803943551897623,0.06935158639436345,0.0,0.013847527029365448,0.0,0.0024397175602067843,0.057430576418238025,0.0,0.2899053718482071,0.25101440213373305
2007,15973415.338801093,0.9868491368305182,presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005,0.3076639959396201,0.010277173943349142,0.0631931519567689,0.0,0.013306994496130157,0.0,0.001531301346375246,0.05103816005339442,0.0,0.3008739341221567,0.25211528814220546
2008,23816693.147756536,1.429837901557005,presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008,0.3148339940152107,0.009777001914844482,0.05796420758546786,0.0,0.011847658200397817,0.0,0.0008811134337224678,0.0376757089960397,0.0,0.31749237794738167,0.2495279379069354
2009,25769656.122016337,1.5287671294784788,legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009,0.3251590422768215,0.009442328999255581,0.057638045584202525,0.0,0.010280539464440115,0.0,0.0006080832896154532,0.023523403952173356,0.0,0.3316255726071993,0.24172298382629212
2010,20204725.43755455,1.1909339522201217,county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009,0.3302811549031811,0.009234262249291351,0.058152220520199034,2.7047688409676245e-07,0.009277919521829079,0.0,0.0005925560702589955,0.015330220332932649,0.0,0.33942833073132195,0.23770306519410164
2011,16321568.54149846,0.9594072704631531,legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009,0.3273553169340077,0.008894205804750237,0.056301164310662045,5.149735780882992e-06,0.00878927282230045,0.0,0.0007614394411197701,0.012641581355843486,0.0,0.3420037111761774,0.24324815841935798
2012,24576621.477863852,1.4067621345008163,legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012,0.3219015174180496,0.008413445493193089,0.056227930235339584,4.389653896538359e-05,0.008297175326989904,1.6061158581069272e-06,0.0010392637166459732,0.01198371971506832,0.0,0.3391550871133485,0.25293635832654143
2013,18581531.897673927,1.056806773728343,county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012,0.32108346564991463,0.008125148579667731,0.06519008995547759,0.0001811468259871276,0.007256953632312972,3.0753520488057177e-05,0.0013310889863831442,0.01085268744502636,0.0,0.32771770719630644,0.25823095820843583
2014,21637664.477507934,1.2045753861186357,legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014,0.324685086644355,0.008157900708592871,0.08011464552348184,0.00041629492980688713,0.005951188342582553,0.0002633143033339008,0.0015737527084896824,0.010196588402437319,3.2028250883166544e-06,0.30770325840208074,0.26093476720975095
2015,18195034.493599057,1.0129231240900198,legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014,0.32915658965335887,0.008313344791552447,0.08776387880795296,0.0006763809197414875,0.004967019343349198,0.0010908815067232132,0.001574415059041409,0.013372430198989451,6.0980083426698386e-05,0.28480496949895406,0.2682191101369102
2016,26569933.881085135,1.4517634239748913,legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016,0.3336112716660982,0.00848006881502957,0.08824003112817047,0.0009632910308645142,0.00425105394403169,0.0024710099209986447,0.0013449710895651094,0.019528558875882573,0.0005165807068638127,0.2623070105494083,0.2782861522730872
2017,20159446.757540025,1.0946481967288872,county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016,0.3369255390671596,0.008652132196774983,0.09224569317156082,0.0013014643989739875,0.0035666367001119565,0.0037364015030817346,0.0011222398606071326,0.022768013168413707,0.0020834547826740087,0.24721412328995812,0.280384301860684
2018,23145664.67767714,1.2363961030678927,legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018,0.3366576835628445,0.00879705417495268,0.09901099467494458,0.0016624197993405756,0.0028780528652764753,0.004574880108622589,0.0009515280080594683,0.021726441013971223,0.004402425097904372,0.24288083962060483,0.2764576810734786
2019,19463106.456123225,1.0396810509034533,legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018,0.3297339634195308,0.008864933323854646,0.09880716677173766,0.00198563122548816,0.002222896164569446,0.004997907066224868,0.000774277603945612,0.020022714924374487,0.005828342929768016,0.2445134982593986,0.2822486683111078
2020,27953369.44865545,1.4742640687119288,legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020,0.3200584066529217,0.008897980538098718,0.092874955034866,0.0022990872614562867,0.001526154728096,0.005202475103441266,0.0005678311161574154,0.01898264977122398,0.006511828412197121,0.2465826406284281,0.29649599075311356
2021,21224562.887514926,1.1135689082291593,county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020,0.3190936392100621,0.008952266003086238,0.09132457686718459,0.0026080015618354453,0.000901707139564821,0.0053685697007826005,0.0003715618734266095,0.01749937307073454,0.008465665886701229,0.24627651891339267,0.2991381197732291
2022,25567658.84743833,1.3363961030678926,county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020;county_councilor:2022;local_executive:2022,0.32558084313283203,0.00893402141937839,0.09346537341511185,0.0028349704450858115,0.0005469441593311728,0.005431408224364909,0.00020978491773645426,0.015235257030265917,0.014065794770260149,0.24565673097441837,0.28803887151121504
2023,19944094.30302144,1.0396810509034533,legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020;county_councilor:2022;local_executive:2022,0.3267577221056794,0.008697425214859883,0.09175937391560926,0.0028725200729397215,0.00040106657162709787,0.005252854854398782,8.461998125855768e-05,0.01278813010226973,0.02653396842835468,0.24629187171408967,0.2785604470389132
2024,28500036.00489276,1.4742640687119288,legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020;county_councilor:2022;local_executive:2022;legislative:2024;presidential:2024,0.3210184230100163,0.008319338261059767,0.08686927708358491,0.0027520703150097398,0.00032135334591515283,0.0048603590147599665,1.9507765243271153e-05,0.010461065717774966,0.04324668672469448,0.2470172168800478,0.27511470188189363
