year,composite,kmt_advantage,dpp_advantage,is_election_year
1999.5585284280937,0.5933967873011871,0.0934,-0.0934,False
1999.6521739130435,0.5839525341711447,0.084,-0.084,False
1999.7458193979933,0.5748016531915164,0.0748,-0.0748,False
1999.839464882943,0.5662165266586887,0.0662,-0.0662,False
1999.933110367893,0.5584695368690309,0.0585,-0.0585,True
2000.0267558528428,0.551831338048028,0.0518,-0.0518,True
2000.1204013377926,0.5464220262405031,0.0464,-0.0464,False
2000.2140468227424,0.5420964386020835,0.0421,-0.0421,False
2000.3076923076924,0.5386824111799597,0.0387,-0.0387,False
2000.4013377926422,0.5360077800213466,0.036,-0.036,False
2000.494983277592,0.5339003811734323,0.0339,-0.0339,False
2000.5886287625417,0.532188050683415,0.0322,-0.0322,False
2000.6822742474917,0.5306986245984889,0.0307,-0.0307,False
2000.7759197324415,0.5292599389658594,0.0293,-0.0293,False
2000.8695652173913,0.5276998298327202,0.0277,-0.0277,False
2000.963210702341,0.5258461332462695,0.0258,-0.0258,True
2001.056856187291,0.5235367247049595,0.0235,-0.0235,True
2001.1505016722408,0.520755530938676,0.0208,-0.0208,False
2001.2441471571906,0.5175968145557366,0.0176,-0.0176,False
2001.3377926421404,0.5141575579913777,0.0142,-0.0142,False
2001.4314381270904,0.5105347436808269,0.0105,-0.0105,False
2001.5250836120401,0.5068253540593384,0.0068,-0.0068,False
2001.61872909699,0.50312637156214,0.0031,-0.0031,False
2001.71237458194,0.4995347786244597,-0.0005,0.0005,False
2001.8060200668897,0.49614755768155155,-0.0039,0.0039,False
2001.8996655518395,0.49306169116864307,-0.0069,0.0069,False
2001.9933110367892,0.4903741615209708,-0.0096,0.0096,True
2002.0869565217392,0.4881671753835887,-0.0118,0.0118,True
2002.180602006689,0.4864496657402161,-0.0136,0.0136,False
2002.2742474916388,0.48520789411862064,-0.0148,0.0148,False
2002.3678929765886,0.4844281153211365,-0.0156,0.0156,False
2002.4615384615386,0.4840965841500979,-0.0159,0.0159,False
2002.5551839464883,0.48419955540784054,-0.0158,0.0158,False
2002.6488294314381,0.4847232838966975,-0.0153,0.0153,False
2002.742474916388,0.485654024419003,-0.0143,0.0143,False
2002.836120401338,0.4869780317770951,-0.013,0.013,False
2002.9297658862877,0.4886815607733016,-0.0113,0.0113,False
2003.0234113712374,0.49075085934974266,-0.0092,0.0092,False
2003.1170568561872,0.49317134536230756,-0.0068,0.0068,False
2003.2107023411372,0.49592682451595255,-0.0041,0.0041,False
2003.304347826087,0.4990009172897611,-0.001,0.001,False
2003.3979933110368,0.5023772441628362,0.0024,-0.0024,False
2003.4916387959865,0.5060394256142746,0.006,-0.006,False
2003.5852842809365,0.509971082123183,0.01,-0.01,False
2003.6789297658863,0.5141558341686387,0.0142,-0.0142,False
2003.772575250836,0.5185773022297483,0.0186,-0.0186,False
2003.8662207357859,0.523219106785608,0.0232,-0.0232,False
2003.9598662207359,0.5280648683153267,0.0281,-0.0281,True
2004.0535117056857,0.5330966919468395,0.0331,-0.0331,True
2004.1471571906354,0.5382712296444669,0.0383,-0.0383,False
2004.2408026755852,0.5435240131660294,0.0435,-0.0435,False
2004.3344481605352,0.5487899349805986,0.0488,-0.0488,False
2004.428093645485,0.5540038875572078,0.054,-0.054,False
2004.5217391304348,0.5591007633649288,0.0591,-0.0591,False
2004.6153846153845,0.5640154548728207,0.064,-0.064,False
2004.7090301003345,0.5686828545499533,0.0687,-0.0687,False
2004.8026755852843,0.573037854865363,0.073,-0.073,False
2004.896321070234,0.5770153482881201,0.077,-0.077,False
2004.9899665551839,0.580550227287284,0.0806,-0.0806,True
2005.0836120401339,0.583585387685407,0.0836,-0.0836,True
2005.1772575250836,0.5861079688675259,0.0861,-0.0861,False
2005.2709030100334,0.5881203142853594,0.0881,-0.0881,False
2005.3645484949832,0.5896247812204133,0.0896,-0.0896,False
2005.4581939799332,0.5906237269541945,0.0906,-0.0906,False
2005.551839464883,0.5911195087682044,0.0911,-0.0911,False
2005.6454849498327,0.5911144839439513,0.0911,-0.0911,False
2005.7391304347825,0.5906110097629409,0.0906,-0.0906,False
2005.8327759197325,0.5896114435066757,0.0896,-0.0896,False
2005.9264214046823,0.5881181424566663,0.0881,-0.0881,True
2006.020066889632,0.5861338689030268,0.0861,-0.0861,True
2006.1137123745818,0.5837334616681914,0.0837,-0.0837,False
2006.2073578595318,0.5811462778595861,0.0811,-0.0811,False
2006.3010033444816,0.5786216400091126,0.0786,-0.0786,False
2006.3946488294314,0.5764088706486542,0.0764,-0.0764,False
2006.4882943143812,0.5747572923100996,0.0748,-0.0748,False
2006.5819397993312,0.573916227525337,0.0739,-0.0739,False
2006.675585284281,0.5741349988262598,0.0741,-0.0741,False
2006.7692307692307,0.5756629287447544,0.0757,-0.0757,False
2006.8628762541805,0.5787493398127095,0.0787,-0.0787,False
2006.9565217391305,0.5836435545620283,0.0836,-0.0836,False
2007.0501672240803,0.5905786741052323,0.0906,-0.0906,False
2007.14381270903,0.5994705470432757,0.0995,-0.0995,False
