year,weighted_eligible_voters,total_event_weight,included_events,nonvoters_share,invalid_share,other_share,tpp_share,pan_blue_share,pan_green_share
2006,20678320.29679586,1.286068014953146,county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005,0.3052068750639885,0.010803943551897623,0.06935158639436345,0.0,0.3497756658266518,0.26486192916309853
2007,15973415.338801093,0.9868491368305182,presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005,0.3076639959396201,0.010277173943349142,0.0631931519567689,0.0,0.35344339552192633,0.2654222826383356
2008,23816693.147756536,1.429837901557005,presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008,0.31483399401521067,0.00977700191484448,0.05796420758546785,0.0,0.35604920037714377,0.2613755961073332
2009,25769656.122016337,1.5287671294784788,legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009,0.3251590422768215,0.009442328999255581,0.057638045584202525,0.0,0.35575705984898814,0.2520035232907322
2010,20204725.43755455,1.1909339522201217,county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009,0.3302811549031811,0.009234262249291351,0.058152220520199034,0.0,0.3553511071345136,0.24698125519281483
2011,16321568.54149846,0.9594072704631531,legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009,0.3273553169340077,0.008894205804750237,0.056301164310662045,0.0,0.35540673197314065,0.2520425809774393
2012,24576621.477863852,1.4067621345008163,legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012,0.3219015174180496,0.008413445493193089,0.056227930235339584,0.0,0.35217807054506284,0.2612790363083548
2013,18581531.897673927,1.056806773728343,county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012,0.32108346564991463,0.008125148579667731,0.06519008995547759,0.0,0.33990148362771594,0.265699812187224
2014,21637664.477507934,1.2045753861186357,legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014,0.324685086644355,0.008157900708592871,0.08011464552348184,3.2028250883166544e-06,0.31947359951300774,0.26756556478547433
2015,18195034.493599057,1.0129231240900198,legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014,0.32915658965335887,0.008313344791552447,0.08776387880795296,6.098008342669838e-05,0.2997518147569849,0.27495339190672413
2016,26569933.881085135,1.4517634239748913,legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016,0.3336112716660982,0.00848006881502957,0.08824003112817047,0.0005165807068638127,0.28318054051485597,0.28597150716898206
2017,20159446.757540025,1.0946481967288872,county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016,0.33692553906715955,0.008652132196774982,0.09224569317156081,0.0020834547826740083,0.27110437631897893,0.28898880446285163
2018,23145664.67767714,1.2363961030678927,legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018,0.33665768356284453,0.008797054174952681,0.09901099467494459,0.004402425097904373,0.2655588086426356,0.28557303384671834
2019,19463106.456123225,1.0396810509034533,legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018,0.32973396341953076,0.008864933323854645,0.09880716677173765,0.005828342929768015,0.26531049078771873,0.29145510276739023
2020,27953369.44865545,1.4742640687119288,legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020,0.3200584066529216,0.008897980538098716,0.09287495503486598,0.00651182841219712,0.2661331215158095,0.305523707846107
2021,21224562.887514926,1.1135689082291593,county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020,0.3190936392100621,0.008952266003086238,0.09132457686718459,0.008465665886701229,0.2641474538575538,0.308016398175412
2022,25567658.84743833,1.3363961030678926,county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020;county_councilor:2022;local_executive:2022,0.325580843132832,0.008934021419378388,0.09346537341511184,0.014065794770260147,0.2611017729224207,0.2968521943399969
2023,19944094.30302144,1.0396810509034533,legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020;county_councilor:2022;local_executive:2022,0.3267577221056794,0.008697425214859883,0.09175937391560926,0.02653396842835468,0.259164621797618,0.2870868885378788
2024,28500036.00489276,1.4742640687119288,legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020;county_councilor:2022;local_executive:2022;legislative:2024;presidential:2024,0.3210184230100163,0.008319338261059767,0.08686927708358491,0.04324668672469448,0.2574977903630661,0.2830484845575785
