相對年度,平均所得相對成長率百分點,事件數,縣市,輪替年度,由,轉為,所得相對成長率百分點
-2,-0.30145552533768416,28,基隆市,2023,DPP,KMT,-2.296483124253079
-2,-0.30145552533768416,28,宜蘭縣,2006,DPP,KMT,-7.690957538736498
-2,-0.30145552533768416,28,宜蘭縣,2010,KMT,DPP,13.265554631549392
-2,-0.30145552533768416,28,宜蘭縣,2019,DPP,KMT,-3.1931561313895074
-2,-0.30145552533768416,28,彰化縣,2002,KMT,DPP,0.0755212685556117
-2,-0.30145552533768416,28,彰化縣,2006,DPP,KMT,-2.6592036939158348
-2,-0.30145552533768416,28,彰化縣,2015,KMT,DPP,-2.3276351436091858
-2,-0.30145552533768416,28,彰化縣,2019,DPP,KMT,-5.200723330036183
-2,-0.30145552533768416,28,新北市,2006,DPP,KMT,0.3323862282281098
-2,-0.30145552533768416,28,新竹市,2002,DPP,KMT,8.101828667876632
-2,-0.30145552533768416,28,新竹市,2015,KMT,DPP,5.787958378793867
-2,-0.30145552533768416,28,桃園市,2002,DPP,KMT,3.9941114407426426
-2,-0.30145552533768416,28,桃園市,2015,KMT,DPP,0.029782374597076
-2,-0.30145552533768416,28,桃園市,2023,DPP,KMT,-0.32397458206006036
-2,-0.30145552533768416,28,澎湖縣,2006,KMT,DPP,19.243555449444116
-2,-0.30145552533768416,28,澎湖縣,2019,DPP,KMT,-23.92373623836246
-2,-0.30145552533768416,28,澎湖縣,2023,KMT,DPP,-31.64630333068832
-2,-0.30145552533768416,28,臺中市,2002,DPP,KMT,-8.19207414092844
-2,-0.30145552533768416,28,臺中市,2015,KMT,DPP,2.6591288784548084
-2,-0.30145552533768416,28,臺中市,2019,DPP,KMT,5.925190900885191
-2,-0.30145552533768416,28,雲林縣,2006,KMT,DPP,3.3042292644838156
-2,-0.30145552533768416,28,雲林縣,2019,DPP,KMT,-3.6421665803370473
-2,-0.30145552533768416,28,高雄市,2019,DPP,KMT,-0.3606917725957004
-2,-0.30145552533768416,28,高雄市,2021,KMT,DPP,-1.076798595301831
-1,-1.1006107774950622,28,嘉義市,2015,KMT,DPP,-8.389856103040927
-1,-1.1006107774950622,28,嘉義市,2019,DPP,KMT,3.82798953907848
-1,-1.1006107774950622,28,嘉義縣,2002,KMT,DPP,-6.88084530775992
-1,-1.1006107774950622,28,基隆市,2015,KMT,DPP,-6.139203104868862
-1,-1.1006107774950622,28,基隆市,2023,DPP,KMT,-3.412475508838675
-1,-1.1006107774950622,28,宜蘭縣,2006,DPP,KMT,11.647866340611657
-1,-1.1006107774950622,28,宜蘭縣,2010,KMT,DPP,-9.876380110272542
