年度,平均每戶可支配所得,臺灣地區平均每戶可支配所得,縣市,所得對數,全國所得對數,所得對數成長率,全國所得對數成長率,所得相對成長率百分點,失業率,企業家數,企業銷售額百萬元,企業家數對數成長率,企業銷售額對數成長率,中央執政黨代碼,中央執政黨,地方首長黨籍代碼,地方首長黨籍,中央地方同黨,地方是否主要政黨,地方國民黨執政,地方民進黨執政,六都,特殊產業結構縣市,離島縣市,任期年序,地方政黨輪替,失業率變動
2009,1246310,887605,臺北市,14.035697743532578,13.696282103192804,-0.019664012448483703,-0.028961237827966002,0.9297225379482299,5.8,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,1,0,11,0,1.7999999999999998
2010,1298640,889353,臺北市,14.076828120984727,13.698249511048061,0.04113037745214854,0.001967407855257619,3.9162969596890918,5.2,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,1,0,12,0,-0.5999999999999996
2011,1251519,907988,臺北市,14.039868571520586,13.71898644163707,-0.03695954946414126,0.02073693058900794,-5.76964800531492,4.4,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,1,0,13,0,-0.7999999999999998
2012,1278278,923584,臺北市,14.061024417650508,13.73601703279575,0.02115584612992194,0.01703059115868122,0.41252549712407216,4.3,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,1,0,14,0,-0.10000000000000053
2013,1279195,942208,臺北市,14.06174153180131,13.755981335978323,0.0007171141508024448,0.01996430318257225,-1.9247189031769807,4.2,222649.0,12116203.0,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,1,0,15,0,-0.09999999999999964
2014,1292604,956849,臺北市,14.072169346344284,13.771400873241777,0.01042781454297348,0.015419537263454686,-0.49917227204812065,4.0,226558.0,12717853.0,0.017404442379291396,0.048463106628126695,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,1,0,16,0,-0.20000000000000018
2015,1314031,964895,臺北市,14.08861006983364,13.779774566110916,0.016440723489356657,0.008373692869138694,0.8067030620217963,3.8,230822.0,12556527.0,0.018645867932365334,-0.012766144292779558,KMT,中國國民黨,IND,無黨籍,0,0,0,0,1,1,0,1,1,-0.20000000000000018
2016,1320834,993115,臺北市,14.093773913231297,13.808601746996494,0.005163843397657075,0.02882718088557823,-2.3663337487921154,3.9,233720.0,12048959.0,0.01247696697109646,-0.04126234390116679,DPP,民主進步黨,IND,無黨籍,0,0,0,0,1,1,0,2,0,0.10000000000000009
2017,1344538,1018941,臺北市,14.111561017586562,13.834274410626733,0.017787104355264205,0.0256726636302389,-0.7885559274974696,3.8,237730.0,12764985.0,0.01701175822394596,0.057727609441290184,DPP,民主進步黨,IND,無黨籍,0,0,0,0,1,1,0,3,0,-0.10000000000000009
2018,1379305,1036304,臺北市,14.137090307084229,13.851171095050994,0.025529289497667307,0.0168966844242604,0.8632605073406907,3.7,242143.0,12821191.0,0.018392884819382616,0.004393473288867966,DPP,民主進步黨,IND,無黨籍,0,0,0,0,1,1,0,4,0,-0.09999999999999964
2019,1422400,1059731,臺北市,14.167856143741778,13.873525660297378,0.030765836657549173,0.022354565246384794,0.8411271411164378,3.7,244549.0,13458799.0,0.009887237104116764,0.048533744001822754,DPP,民主進步黨,IND,無黨籍,0,0,0,0,1,1,0,5,0,0.0
2020,1422856,1079648,臺北市,14.168176677292294,13.892145620049078,0.0003205335505160889,0.01861995975169961,-1.8299426201183522,3.9,246651.0,13734294.0,0.008558684165842934,0.020262823801875385,DPP,民主進步黨,IND,無黨籍,0,0,0,0,1,1,0,6,0,0.19999999999999973
2021,1430572,1090554,臺北市,14.173584922257417,13.902196381967281,0.0054082449651229325,0.010050761918202866,-0.4642516953079934,4.0,249138.0,15448996.0,0.010032577811205812,0.1176481007162522,DPP,民主進步黨,IND,無黨籍,0,0,0,0,1,1,0,7,0,0.10000000000000009
2022,1444264,1108569,臺北市,14.183110407209131,13.918580552380039,0.009525484951714347,0.01638417041275808,-0.6858685461043734,3.7,250071.0,16989311.0,0.0037379177311507306,0.09504036418146455,DPP,民主進步黨,IND,無黨籍,0,0,0,0,1,1,0,8,0,-0.2999999999999998
2023,1448219,1136708,臺北市,14.185845083585638,13.943646923566812,0.002734676376507039,0.025066371186772685,-2.2331694810265645,3.5,252707.0,17062269.0,0.010485837299631484,0.004285152797084635,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,1,0,1,1,-0.20000000000000018
2024,1485461,1165206,臺北市,14.211235719753558,13.968408453384745,0.025390636167919922,0.024761529817933337,0.06291063499865857,3.5,255632.0,18377379.0,0.011508195443703073,0.07425097171422479,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,1,0,2,0,0.0
1998,744397,873175,臺南市,13.520329773650763,13.67989127292283,,,,3.9,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,1,0,
1999,736363,889053,臺南市,13.509478482646392,13.697912130266793,-0.010851291004371433,0.01802085734396286,-2.8872148348334292,4.3,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,1,0,0.3999999999999999
2000,763523,891445,臺南市,13.545698527614073,13.700599020607656,0.036220044967681275,0.002686890340863002,3.3533154626818273,4.1,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,2,0,-0.20000000000000018
2001,717591,868651,臺南市,13.483655047842054,13.674696712533033,-0.06204347977201863,-0.025902308074623903,-3.6141171697394725,5.0,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,3,0,0.9000000000000004
2002,746442,875919,臺南市,13.523073197028632,13.683028899889882,0.03941814918657727,0.008332187356849374,3.1085961829727893,5.0,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,4,0,0.0
2003,786875,881662,臺南市,13.575824683780748,13.689564041586747,0.052751486752116605,0.00653514169686531,4.6216345055251296,4.9,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,5,0,-0.09999999999999964
2004,787897,891249,臺南市,13.577122649636735,13.700379128690377,0.001297965855986405,0.010815087103630106,-0.9517121247643701,4.4,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,6,0,-0.5
2005,737099,894574,臺南市,13.510477490508437,13.70410290629004,-0.0666451591282975,0.003723777599661915,-7.036893672795941,4.1,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,7,0,-0.3000000000000007
2006,791254,913092,臺南市,13.581374307720004,13.72459192120366,0.07089681721156715,0.020489014913620096,5.040780229794706,3.8,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,8,0,-0.2999999999999998
2007,815882,923874,臺南市,13.612025015646385,13.736330977689091,0.03065070792638025,0.011739056485431831,1.8911651440948418,3.7,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,9,0,-0.09999999999999964
2008,810038,913687,臺南市,13.60483643912846,13.72524334102077,-0.007188576517924261,-0.011087636668321466,0.38990601503972044,4.0,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,10,0,0.2999999999999998
2009,770804,887605,臺南市,13.55518940492248,13.696282103192804,-0.04964703420598049,-0.028961237827966002,-2.0685796378014487,5.7,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,11,0,1.7000000000000002
2010,740706,889353,臺南市,13.515359064414097,13.698249511048061,-0.03983034050838263,0.001967407855257619,-4.179774836364025,5.1,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,12,0,-0.6000000000000005
2011,783223,907988,臺南市,13.57117273646796,13.71898644163707,0.05581367205386201,0.02073693058900794,3.5076741464854067,4.3,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,13,0,-0.7999999999999998
2012,770078,923584,臺南市,13.554247087400798,13.73601703279575,-0.01692564906716143,0.01703059115868122,-3.395624022584265,4.2,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,14,0,-0.09999999999999964
2013,830467,942208,臺南市,13.62974347214669,13.755981335978323,0.07549638474589138,0.01996430318257225,5.5532081563319124,4.2,105693.0,2265824.0,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,15,0,0.0
2014,829957,956849,臺南市,13.629129171201825,13.771400873241777,-0.0006143009448642545,0.015419537263454686,-1.603383820831894,4.1,107332.0,2360826.0,0.015388168921244727,0.04107306811536837,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,16,0,-0.10000000000000053
2015,837530,964895,臺南市,13.638212362935327,13.779774566110916,0.00908319173350236,0.008373692869138694,0.07094988643636668,3.8,109910.0,2266579.0,0.023735014641918184,-0.040739911506397775,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,17,0,-0.2999999999999998
2016,884524,993115,臺南市,13.692804926187854,13.808601746996494,0.054592563252526816,0.02882718088557823,2.5765382366948586,3.9,111728.0,2198233.0,0.016405497022869753,-0.030617790472652118,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,18,0,0.10000000000000009
2017,902536,1018941,臺南市,13.712963857590296,13.834274410626733,0.020158931402441738,0.0256726636302389,-0.5513732227797163,3.8,113927.0,2298820.0,0.019490546301433653,0.04474209198225054,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,19,0,-0.10000000000000009
2018,898912,1036304,臺南市,13.708940422121957,13.851171095050994,-0.004023435468338832,0.0168966844242604,-2.092011989259923,3.8,116541.0,2385236.0,0.022685250017810077,0.0369021234218625,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,20,0,0.0
2019,904114,1059731,臺南市,13.714710737618287,13.873525660297378,0.005770315496329559,0.022354565246384794,-1.6584249750055235,3.7,118557.0,2347965.0,0.01715071516098554,-0.015749075675357105,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,21,0,-0.09999999999999964
2020,904141,1079648,臺南市,13.714740600663047,13.892145620049078,2.9863044760602975e-05,0.01861995975169961,-1.8590096706939008,3.8,122040.0,2362531.0,0.028955002264559937,0.006184506441281101,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,22,0,0.09999999999999964
2021,924875,1090554,臺南市,13.737413872227853,13.902196381967281,0.022673271564805475,0.010050761918202866,1.2622509646602609,3.9,126411.0,2757352.0,0.03518964339426134,0.15453729690817397,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,23,0,0.10000000000000009
2022,941880,1108569,臺南市,13.75563315690886,13.918580552380039,0.018219284681007863,0.01638417041275808,0.18351142682497823,3.6,130249.0,2878847.0,0.029909499818087326,0.043119067864319405,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,24,0,-0.2999999999999998
2023,971186,1136708,臺南市,13.786273284026963,13.943646923566812,0.03064012711810271,0.025066371186772685,0.5573755931330027,3.5,133797.0,2803411.0,0.026875722857280238,-0.026552976719358412,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,25,0,-0.10000000000000009
2024,1009768,1165206,臺南市,13.825231159461378,13.968408453384745,0.038957875434414646,0.024761529817933337,1.419634561648131,3.4,137305.0,3009866.0,0.025881002798731956,0.07105866945146211,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,26,0,-0.10000000000000009
1998,562213,873175,臺東縣,13.23963606063084,13.67989127292283,,,,3.3,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,1,0,
1999,574406,889053,臺東縣,13.261091742344046,13.697912130266793,0.02145568171320633,0.01802085734396286,0.3434824369243472,2.8,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,1,0,-0.5
2000,641298,891445,臺東縣,13.37124952646688,13.700599020607656,0.11015778412283339,0.002686890340863002,10.747089378197039,3.1,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,2,0,0.30000000000000027
2001,627005,868651,臺東縣,13.34870979406492,13.674696712533033,-0.02253973240195961,-0.025902308074623903,0.3362575672664292,4.3,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,3,0,1.1999999999999997
2002,651312,875919,臺東縣,13.386744069053844,13.683028899889882,0.038034274988923755,0.008332187356849374,2.970208763207438,4.9,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,4,0,0.6000000000000005
2003,619787,881662,臺東縣,13.337131149607911,13.689564041586747,-0.04961291944593249,0.00653514169686531,-5.61480611427978,4.9,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,5,0,0.0
2004,631719,891249,臺東縣,13.356199954002937,13.700379128690377,0.019068804395026007,0.010815087103630106,0.8253717291395901,4.5,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,6,0,-0.40000000000000036
2005,597433,894574,臺東縣,13.300397422609114,13.70410290629004,-0.055802531393823074,0.003723777599661915,-5.952630899348499,4.2,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,7,0,-0.2999999999999998
2006,624932,913092,臺東縣,13.34539812279939,13.72459192120366,0.04500070019027547,0.020489014913620096,2.451168527665537,3.9,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,8,0,-0.30000000000000027
2007,720459,923874,臺東縣,13.487643787875433,13.736330977689091,0.14224566507604308,0.011739056485431831,13.050660859061125,3.8,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,9,0,-0.10000000000000009
2008,586479,913687,臺東縣,13.281892140808033,13.72524334102077,-0.2057516470673999,-0.011087636668321466,-19.466401039907844,4.0,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,10,0,0.20000000000000018
2009,667547,887605,臺東縣,13.411365078762753,13.696282103192804,0.12947293795471992,-0.028961237827966002,15.843417578268593,5.8,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,11,0,1.7999999999999998
2010,568409,889353,臺東縣,13.250596508999502,13.698249511048061,-0.16076856976325082,0.001967407855257619,-16.273597761850844,5.4,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,12,0,-0.39999999999999947
2011,607872,907988,臺東縣,13.31771961246874,13.71898644163707,0.06712310346923722,0.02073693058900794,4.638617288022928,4.6,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,13,0,-0.8000000000000007
2012,670017,923584,臺東縣,13.415058364179584,13.73601703279575,0.09733875171084527,0.01703059115868122,8.030816055216405,4.3,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,14,0,-0.2999999999999998
2013,676390,942208,臺東縣,13.424525111745886,13.755981335978323,0.009466747566301947,0.01996430318257225,-1.0497555616270304,4.1,12470.0,59403.0,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,15,0,-0.20000000000000018
2014,697540,956849,臺東縣,13.455315138703593,13.771400873241777,0.03079002695770683,0.015419537263454686,1.5370489694252143,3.9,12664.0,69991.0,0.015437562886766898,0.16402193221100525,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,16,0,-0.19999999999999973
2015,636162,964895,臺東縣,13.36320852686853,13.779774566110916,-0.09210661183506375,0.008373692869138694,-10.048030470420244,3.7,13103.0,72607.0,0.03407788904373632,0.03669467356077227,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,17,0,-0.19999999999999973
2016,674647,993115,臺東縣,13.42194487009888,13.808601746996494,0.058736343230350485,0.02882718088557823,2.9909162344772255,3.9,13415.0,68669.0,0.02353227225514054,-0.05576347578887564,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,18,0,0.19999999999999973
2017,752275,1018941,臺東縣,13.530857227572502,13.834274410626733,0.10891235747362238,0.0256726636302389,8.323969384338348,3.5,13633.0,63638.0,0.01611984032640379,-0.0760870839265273,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,19,0,-0.3999999999999999
2018,751292,1036304,臺東縣,13.52954967009079,13.851171095050994,-0.001307557481712962,0.0168966844242604,-1.8204241905973362,3.5,13888.0,69218.0,0.018531833714002133,0.08405016820622002,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,20,0,0.0
2019,746775,1059731,臺東縣,13.523519213924395,13.873525660297378,-0.006030456166394416,0.022354565246384794,-2.838502141277921,3.6,14186.0,69267.0,0.02123040486190142,0.0007076578986140447,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,21,0,0.10000000000000009
2020,764655,1079648,臺東縣,13.547180030694275,13.892145620049078,0.023660816769879744,0.01861995975169961,0.5040857018180134,3.7,14717.0,76548.0,0.03674772540207982,0.0999493927428432,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,22,0,0.10000000000000009
2021,782652,1090554,臺東縣,13.57044343173379,13.902196381967281,0.02326340103951452,0.010050761918202866,1.3212639121311653,3.8,14981.0,75530.0,0.01777944335326964,-0.013388066722463066,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,23,0,0.09999999999999964
2022,779852,1108569,臺東縣,13.566859437072438,13.918580552380039,-0.0035839946613513973,0.01638417041275808,-1.9968165074109478,3.6,15352.0,84015.0,0.02446302717015314,0.106465426004549,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,24,0,-0.19999999999999973
2023,789468,1136708,臺東縣,13.579114579874124,13.943646923566812,0.012255142801686603,0.025066371186772685,-1.2811228385086082,3.4,15691.0,86877.0,0.021841540871532672,0.03349797087279249,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,25,0,-0.20000000000000018
2024,782735,1165206,臺東縣,13.570549475798392,13.968408453384745,-0.008565104075731966,0.024761529817933337,-3.3326633893665303,3.3,16082.0,91517.0,0.024613334549027144,0.052031422171243236,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,26,0,-0.10000000000000009
1998,718903,873175,花蓮縣,13.485481718005403,13.67989127292283,,,,2.8,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,1,0,
1999,711084,889053,花蓮縣,13.474545845266904,13.697912130266793,-0.010935872738498276,0.01802085734396286,-2.8956730082461135,3.7,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,1,0,0.9000000000000004
2000,741877,891445,花蓮縣,13.516938740214382,13.700599020607656,0.042392894947477444,0.002686890340863002,3.9706004606614442,3.9,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,2,0,0.19999999999999973
2001,744651,868651,花蓮縣,13.52067093122589,13.674696712533033,0.0037321910115082346,-0.025902308074623903,2.963449908613214,5.1,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,3,0,1.1999999999999997
2002,689347,875919,花蓮縣,13.443500051664579,13.683028899889882,-0.07717087956131152,0.008332187356849374,-8.55030669181609,5.5,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,4,0,0.40000000000000036
2003,730767,881662,花蓮縣,13.501849946472994,13.689564041586747,0.05834989480841557,0.00653514169686531,5.181475311155026,5.3,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,5,0,-0.20000000000000018
2004,714810,891249,花蓮縣,13.479772052096804,13.700379128690377,-0.022077894376190343,0.010815087103630106,-3.289298147982045,4.8,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,6,0,-0.5
2005,662744,894574,花蓮縣,13.404144070922815,13.70410290629004,-0.07562798117398906,0.003723777599661915,-7.935175877365097,4.4,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,7,0,-0.39999999999999947
2006,726258,913092,花蓮縣,13.495660602578122,13.72459192120366,0.09151653165530682,0.020489014913620096,7.1027516741686725,4.2,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,8,0,-0.20000000000000018
2007,724680,923874,花蓮縣,13.493485457089948,13.736330977689091,-0.0021751454881737686,0.011739056485431831,-1.39142019736056,4.1,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,9,0,-0.10000000000000053
2008,695030,913687,花蓮縣,13.451710289082953,13.72524334102077,-0.041775168006994434,-0.011087636668321466,-3.068753133867297,4.2,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,10,0,0.10000000000000053
2009,655696,887605,花蓮縣,13.393452545882333,13.696282103192804,-0.05825774320062038,-0.028961237827966002,-2.929650537265438,5.9,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,11,0,1.7000000000000002
2010,741246,889353,花蓮縣,13.516087832989461,13.698249511048061,0.12263528710712812,0.001967407855257619,12.06678792518705,5.4,,,,,KMT,中國國民黨,IND,無黨籍,0,0,0,0,0,0,0,1,1,-0.5
2011,757041,907988,花蓮縣,13.537172692115407,13.71898644163707,0.0210848591259456,0.02073693058900794,0.034792853693765835,4.4,,,,,KMT,中國國民黨,IND,無黨籍,0,0,0,0,0,0,0,2,0,-1.0
2012,761611,923584,花蓮縣,13.5431912056323,13.73601703279575,0.006018513516893975,0.01703059115868122,-1.1012077641787243,4.3,,,,,KMT,中國國民黨,IND,無黨籍,0,0,0,0,0,0,0,3,0,-0.10000000000000053
2013,790373,942208,花蓮縣,13.580260264913303,13.755981335978323,0.037069059281002126,0.01996430318257225,1.7104756098429874,4.1,19787.0,142824.0,,,KMT,中國國民黨,IND,無黨籍,0,0,0,0,0,0,0,4,0,-0.20000000000000018
2014,715443,956849,花蓮縣,13.480657210235021,13.771400873241777,-0.09960305467828157,0.015419537263454686,-11.502259194173625,3.8,19898.0,148608.0,0.0055940677568653285,0.03969886362471087,KMT,中國國民黨,IND,無黨籍,0,0,0,0,0,0,0,5,0,-0.2999999999999998
2015,768611,964895,花蓮縣,13.552340268746091,13.779774566110916,0.07168305851106993,0.008373692869138694,6.330936564193124,3.7,20464.0,147556.0,0.028048020669318774,-0.007104201891555917,KMT,中國國民黨,IND,無黨籍,0,0,0,0,0,0,0,6,0,-0.09999999999999964
2016,782381,993115,花蓮縣,13.570097113154299,13.808601746996494,0.017756844408207684,0.02882718088557823,-1.1070336477370546,3.9,21038.0,139044.0,0.027663081480595153,-0.059417334940890854,DPP,民主進步黨,IND,無黨籍,0,0,0,0,0,0,0,7,0,0.19999999999999973
2017,752426,1018941,花蓮縣,13.531057931899152,13.834274410626733,-0.039039181255146715,0.0256726636302389,-6.471184488538562,3.7,21339.0,150509.0,0.014206058102404384,0.07923245326246864,DPP,民主進步黨,IND,無黨籍,0,0,0,0,0,0,0,8,0,-0.19999999999999973
2018,789072,1036304,花蓮縣,13.578612850417402,13.851171095050994,0.04755491851824978,0.0168966844242604,3.065823409398938,3.5,21566.0,160058.0,0.010581616040393982,0.061513366481182885,DPP,民主進步黨,IND,無黨籍,0,0,0,0,0,0,0,9,0,-0.20000000000000018
2019,809661,1059731,花蓮縣,13.604370920526785,13.873525660297378,0.025758070109382913,0.022354565246384794,0.3403504862998119,3.6,21837.0,160136.0,0.01248777834434911,0.0004872046418284981,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,1,1,0.10000000000000009
2020,873311,1079648,花蓮縣,13.680047014223103,13.892145620049078,0.07567609369631789,0.01861995975169961,5.705613394461828,3.7,22536.0,149422.0,0.03150825176984107,-0.06924893664131915,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,2,0,0.10000000000000009
2021,870890,1090554,花蓮縣,13.677270956240353,13.902196381967281,-0.0027760579827500464,0.010050761918202866,-1.2826819900952913,3.8,23028.0,169494.0,0.02159683623949249,0.1260430104167991,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,3,0,0.09999999999999964
2022,859654,1108569,花蓮縣,13.664285261693644,13.918580552380039,-0.012985694546708615,0.01638417041275808,-2.9369864959466696,3.5,23328.0,167644.0,0.012943489012684495,-0.010974844537892992,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,4,0,-0.2999999999999998
2023,868593,1136708,花蓮縣,13.674629940104955,13.943646923566812,0.010344678411311037,0.025066371186772685,-1.4721692775461648,3.3,23769.0,195865.0,0.018727854824966528,0.15558296297949248,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,5,0,-0.20000000000000018
2024,903665,1165206,花蓮縣,13.71421399547311,13.968408453384745,0.039584055368154125,0.024761529817933337,1.4822525550220789,3.3,24328.0,178511.0,0.023245739723849468,-0.0927754224346522,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,6,0,0.0
1998,761381,873175,苗栗縣,13.54288916858713,13.67989127292283,,,,2.1,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,1,0,
1999,779814,889053,苗栗縣,13.56681070869084,13.697912130266793,0.02392154010370895,0.01802085734396286,0.590068275974609,2.2,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,1,0,0.10000000000000009
2000,788159,891445,苗栗縣,13.577455125135591,13.700599020607656,0.01064441644475167,0.002686890340863002,0.7957526103888668,2.7,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,2,0,0.5
2001,777341,868651,苗栗縣,13.563634400514504,13.674696712533033,-0.013820724621087521,-0.025902308074623903,1.2081583453536382,4.5,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,3,0,1.7999999999999998
2002,762664,875919,苗栗縣,13.544572846304106,13.683028899889882,-0.019061554210397347,0.008332187356849374,-2.739374156724672,4.9,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,4,0,0.40000000000000036
2003,778215,881662,苗栗縣,13.564758114597403,13.689564041586747,0.020185268293296588,0.00653514169686531,1.3650126596431278,4.8,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,5,0,-0.10000000000000053
2004,732410,891249,苗栗縣,13.504095745430407,13.700379128690377,-0.0606623691669963,0.010815087103630106,-7.1477456270626405,4.5,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,6,0,-0.2999999999999998
2005,768863,894574,苗栗縣,13.552668079170537,13.70410290629004,0.0485723337401307,0.003723777599661915,4.484855614046879,4.1,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,7,0,-0.40000000000000036
2006,849510,913092,苗栗縣,13.65241499165521,13.72459192120366,0.09974691248467238,0.020489014913620096,7.925789757105228,3.8,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,8,0,-0.2999999999999998
2007,826541,923874,苗栗縣,13.6250048017884,13.736330977689091,-0.027410189866809986,0.011739056485431831,-3.9149246352241818,3.9,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,9,0,0.10000000000000009
2008,754346,913687,苗栗縣,13.533606427675783,13.72524334102077,-0.09139837411261631,-0.011087636668321466,-8.031073744429484,4.2,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,10,0,0.30000000000000027
2009,756823,887605,苗栗縣,13.536884687378512,13.696282103192804,0.0032782597027285476,-0.028961237827966002,3.223949753069455,5.8,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,11,0,1.5999999999999996
2010,788968,889353,苗栗縣,13.578481041337593,13.698249511048061,0.0415963539590809,0.001967407855257619,3.962894610382328,5.3,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,12,0,-0.5
